用户Id,昵称,评论内容,点赞数
32399294,江河故人,"去年在云南徒步旅行的时候单曲循环平凡之路脚底磨出血还在坚持只因为那句 向前走  就这么走人无执念 难有所成 就算只是走的 平凡之路",18392
用户Id,昵称,评论内容,点赞数
10604980,iBMX,音乐是味道，听着这首歌仿佛能够闻到大学的冬天,122740
124242117,恨雨寒,好不容易跟初恋长跑了6年，却得不到家人的祝福。好不容易偷户口本办了结婚证，却没钱装扮婚车迎接新娘。好不容易即将把债务还清，却被迫带着妻儿离开从小长到大的家。夜空中最亮的星，请指引我坚强下去。[大哭],94270
46307643,FsaiLee,去年出国被拒签，今年又得知毕业证不被认可，好几次想辍学，想想大学期间学会了什么，很少。每次听这首歌，湿润的眼眶告诉我要坚强的走下去，相信有一天，会对自己有个交代，对女票，对家人！[拜],49931
137325136,雀斑lin,爸爸失业去送美团外卖，妈妈在家楼下卖小吃天天躲城管，弟弟送快递，自己念了一个普通大学，不爱学的专业，以前觉得浑浑噩噩一辈子也就算了，今晚妈妈突然给我发信息说生意不好，我突然发现一声不能就这么完了，我才20岁，我要加油给我父母更好的生活，我要考研！！！我要改变自己的命运！！,48571
3714193,长安无雪,今天下午用自己的私人银行卡给每一位员工打了300块钱，转账备注里写的是：一百块一小时，买你回家看看妈妈，算是加班。,45593
132240586,Minekoharvey,我老爸走了八年了。每天晚上加完班回家抬头都会看到夜空中最亮的那颗心。我就知道那肯定是我老爸在看我。哈哈。莫名的就眼泪哗哗止不住了。老爸  您儿子很想你。,41611
95253563,NeiTT丨,你知道什么时候最难熬吗？从学校过度到社会的时候 看到喜欢的人和异性甜蜜的时候 身边没人相信你的时候 一个人难过需要亲朋好友陪伴却不在身边的时候 看到家人朋友有困难自己无能为力的时候 迫不得已对最重要的人撒谎的时候 当你累的时候 大概当你把这些事都熬过去的时候 你就会变成另一个人,29779
438315764,喝醉的万磁王,"今天爸爸结婚，我又有“妈妈”了，如果你还在就好了，妈妈。今天硕士毕业答辩结束，我毕业了，如果你还在就好了，妈妈。今天媳妇嫌礼金少，我生气了，如果你还在就好了，妈妈。失去妈妈是让人成熟最快的方法，可是我也不想长大啊，如果你还在就好了，妈妈。",29293
18830520,真夏透,最爱的先生，请指引我吧。我想去追逐你，想见你，想守护你。,21876
35191777,笑尼妈,生活再艰苦，也要发自内心的笑！,17719
97658855,Moonusun,第一次评论，这首歌对我太有意义了。去年考研一年的时光，是这颗最亮的星陪我走过的。记得无数次下自习的夜晚，踩着单车，耳朵里塞着耳机，大吼着这首歌。如今我坐在我梦想的学府里写评论，我想告诉大家，越努力越幸运，这是真的,16709
399448269,Ytoinh,如今身在中东的我，听到这首歌让我想起了我老公，那年2014，他在维和任务中牺牲了，我为了履行诺言同样来到了中东，这是我最后的战场。希望有人记住我，我叫欧阳梦！,14785
98905920,星晴_,高考563的复读生，顶着全家上下的反对执意复读，甚至离家出走来威胁（因为这分数可以冲211了）如今，没日没夜奋斗了一年的我，最后一次模拟540。不敢打电话给妈妈，现在坐在阳台上看着天空那为数不多的小星星，听着听着就听哭了。夜空中的星星，能否告诉我，我是不是错了，爸妈，我让你们失望了[流泪],13786
42773022,一个人的音乐器,就在今天14.30.发布魅族mx4por.会有逃跑计划上台演唱表演。,8817
用户Id,昵称,评论内容,点赞数
59577399,不穿裤子的云Ina,你真的红了 很开心 内场票也可以卖到1000+ 虽然以前50就能听你的livehouse 越来越听不起你的演唱会 不过没关系 我会努力变得跟你一样好 民谣不应该穷 以前你吃过的苦都是值得的 难过的日子都是你陪我一起过的 你说你是个普通人 想要买房结婚 我知道 愿你有酒有肉有姑娘 #赵雷,657692
54716168,帐号已注销,为什么你们成都有成都，我们石家庄就只能杀死那个石家庄人,206291
302906238,机智滴小表弟,当初一首郝云的《去大理》，然我义无反顾的背起行囊去了云南，现在听到赵雷的《成都》，好吧，我正在定机票。那么多年一直不敢听的歌就是腾格尔的《天堂》[可爱],182081
91866735,唱给我听--,我是安徽人，高考填志愿，我一本，我女朋友二本，为了能和她在一起，我降分到二本，和她一起来到了成都。不管选择有没有错，至少我不后悔。我现在喜欢上了这个城市，真的很喜欢。我不是老成都，也没有那种情怀，但听到这首歌心里总有一小块地方被触动。五年了，我和她很好[大笑],172554
33436583,小小雨_0327,哇靠靠，终于没有开曲两秒钟的尖叫了啊[爱心],134354
34037160,蔚蓝森林,11年前，我和她一起在成都念大学。七年前大学毕业前含泪分手了。五年前我们各自匆匆有了自己的家。两年前在五年没有互相联系的情况下各自又都结束了彼此失败的婚姻。一年前，我再次遇到了她，毫不犹豫的我再次抓紧了她的手，我再也不要放弃她了。还有两个月我们就要结婚了，成都留下了我们最好的爱情。,129775
37021013,蓝夏羽天,第一次听成都，是那个音质不清的版本，有一个女生带着四川口音在喊，吃火锅！再听成都，微博上发的钢琴纯净版，短，一听难忘。第三版成都，是我们的时光西安演唱会，你说打开手电筒吧，副歌的旋律重复，星空闪耀。现在，公车很挤，音乐能拯救什么我不知道，我只知道这一刻我必须在听你唱，最终的成都。,117534
39727502,翟小树,喜欢在街头，在酒吧，在草地上，在青岛大海的对面唱着这首熟悉的歌谣，个中滋味自己体会，即将踏上一段美妙的搭车民谣旅行，期待与成都的相遇，在成都的街头哼唱着这首歌，把手揣进裤兜，坐在小酒馆的门口，就这样一个个静静的走着，消失在灯光的尽头，就这样，走着，走完 自己选择的人生！,63882
104209716,青峰拂面Soda,因为一首歌怀念一座城。曾经的天府广场武侯祠锦里杜甫草堂青羊宫春熙路宽窄巷子昭觉寺文殊院都成了回忆。,47192
99076801,小屋麦先生,在四川待了三年，是没有听过这首歌的三年。后来离开了四川，听到这首歌时，心里的某个位置，突然就被触动了。喜欢这首歌的歌词，也喜欢这首歌的旋律，循环播放了好久好久的现场版。成都，成都。成都，带不走的，只有你～,34480
128393417,跑跑跑杨,因为李志爱上南京，因为赵雷爱上成都，路上的人，总把他乡当故乡，那就和解吧，那就歌唱吧，总之，你我都要好好的活着，愿你我走更多的路，听更多的歌，成为一个有用的人。,31857
37440630,Hauntin,赵雷的歌朴实无华，都是对生活的体会和领悟。都是自己真实的经历，所以给人的感觉真实。能引起共鸣，第一次听成都，就深深爱上了这种温婉的旋律，没有华丽的词藻，只有淡淡的心酸和无奈。不在成都，却置身成都。,31780
56011501,特立独行的种猪,这首歌反复的唱都唱不厌，他在许多现场都唱过。我前些天在我的电台也唱过，虽然我唱的不咋地，也算是对赵雷的崇敬了。有个朋友前几天刚去成都，我给他推荐这首歌，他听后很感动，说要去成都的街道去转转。深秋刚来，这首歌夜里听非常有感觉。[爱心]很高兴，又听到这个新版本。,23947
397821614,ImHmily,一位江苏男孩因为一位成都女孩而喜欢上了这首歌，女孩不喜欢异地恋，但是喜欢男孩。他们在一起274天，异地恋254天，原谅男孩不能去成都一直陪你。男孩想：女孩三年后毕业，自己打拼三年，三年后把最好的自己给她，那时的她也是最好的。愿所有的异地恋都长长久久。我爱成都，更爱李卓。,17895
