用户Id,昵称,评论内容,点赞数
390015516,觉得自,大学毕业后我去了北京，而她留在了老家，刚开始每天一个电话，后来越来越少，甚至断了联系，直到两年后的一次我坐火车回家，出了站之后看见她一个人站在外面，头发被风吹得很凌乱，看到我之后也没有动，我放下行李过去把她抱住，她立马大哭对我说我还以为你不要我了。那一刻起我就知道这辈子就是你。,216340
368479170,Libertyman_,「刚」好「玉」见「李」,211353
44421277,拾半片阑珊,96年离开家奔波闯荡，06年星光大道让全国观众认识了你，16年出道整十周年，你用十年时间向世界证明你不是当初那个初登央视舞台稚嫩的李玉刚，你是历经十年岁月积淀的玉先生，你是传播传统文化的先行者，你是摆脱桎梏追求艺术突破的追梦人  世界之大欣喜相逢 我们17日十周年演唱会见[亲亲],121506
66976362,Aimfay,副歌有毒…画室今天放了三遍[大哭]第一次听这唱的什么鬼…第二次感觉还不错…第三次就开始中毒了拿起手机听歌识曲，单曲循环走起[大哭],109129
135883617,恍偌梦呓,1.11号我们在一起了 她是初恋 我不是。她给我的是刚好遇见你 我给他复习的是终于等到你  她肯定会用网易云 请大家帮帮忙 让她听这首歌可以看见 我是真的爱你啊 谢谢大家 '真不是段子[爱心]（第二遍了 谢谢）,89141
35724500,信号微弱,相识7年，在一起却才8个月，怪我当初没有足够的勇气，没想到你会为我坚持那么久。感谢上天让我刚好遇见你，是你的坚持让我们最后能走在一起，希望你能在我的一生中留下漫长的回忆，我会珍惜这场来之不易的相遇。在今后的日子里，让我来给你走下去的勇气，给我机会保护你、呵护你，刘小瘦我爱你。。。,62904
120326576,阳光-网易谢谢你,我用网易云音乐，当初的信任给她买的手机，给她安装了网易云登录了我的帐号，可她不怎么用，16年12月22号她送走了我，至今虽然不再联系就在昨天我突然发现我喜欢的音乐列表内多了一首歌就是这首《刚好遇见你》。,50000
96146812,不好听的时光,我们哭了，我们笑着。[大哭]开口就已经泪流满面，好怀念那段时光,41944
372367685,一团兔毛,因为我刚好遇见你 距离高考还有一百四十多天 和你成为同学大概一年多了 没想到你居然偷偷喜欢了我很久 这次我们省模拟考总分一模一样 要填模拟志愿 你说大学的事就交给我了 你说我们可以去北方看雪吃火锅 你说我喜欢的专业都不错 你说我们很有缘 可是啊 最重要的那一句 你怎么不说呢,39879
294442952,乡里的艾伦,08年汶川地震，废墟下面的她给我发的最后一条信息“ 我撑不住了，要是还能活着出来你娶我好不好” 。八年过去了，我一直没有再找女朋友。,18050
